Detail ID,Detail Status,Product Family,Usage Batch Name,Fiscal Year,RRO Account #,RRO Name,Payment Date,Title,Article,Standard Number,Wr Wrk Inst,RH Account #,RH Name,Publisher,Pub Date,Number of Copies,Reported value,Amt in USD,Gross Amt in USD,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,,,,,,,,,,,,71,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,72,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,73,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,74,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,75,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,76,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,77,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,78,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,79,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,80,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,81,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,82,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,83,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,84,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,85,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,86,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,87,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,88,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,89,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,90,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,91,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,92,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,93,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,94,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,95,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,96,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,97,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,98,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,99,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,100,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,101,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,102,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,103,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,104,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,105,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,106,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,107,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,108,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,109,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,110,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,111,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,112,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,113,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,114,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,115,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,116,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,117,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,118,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
