Assessment Name,Coverage Year,Grade,Wr Wrk Inst,Reported Work Portion ID,Reported Standard Number,Reported Title,Reported Media Type,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Page Range,Reported Vol/Number/Series,Comment,Line,Error Reason
,2019-2020,L,122980288,a15,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,56,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a16,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,57,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a17,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,58,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a18,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,59,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a19,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,60,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a20,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,61,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a21,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,62,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a22,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,63,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a23,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,64,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a24,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,65,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a25,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,66,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a26,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,67,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a27,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,68,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a28,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,69,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a29,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,70,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a30,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,71,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a31,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,72,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a32,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,73,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a33,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,74,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a34,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,75,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a35,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,76,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a36,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,77,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a37,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,78,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a38,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,79,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a39,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,80,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a40,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,81,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a41,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,82,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a42,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,83,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a43,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,84,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a44,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,85,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a45,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,86,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a46,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,87,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a47,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,88,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a48,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,89,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a49,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,90,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a50,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,91,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a51,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,92,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a52,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,93,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a53,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,94,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a54,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,95,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a55,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,96,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a56,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,97,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a57,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,98,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a58,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,99,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a59,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,100,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a60,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,101,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a61,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,102,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a62,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,103,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a63,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,104,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a64,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,105,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a65,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,106,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a66,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,107,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a67,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,108,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a68,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,109,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a69,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,110,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a70,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,111,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a71,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,112,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a72,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,113,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a73,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,114,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a74,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,115,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a75,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,116,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a76,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,117,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a77,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,118,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a78,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,119,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a79,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,120,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a80,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,121,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a81,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,122,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a82,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,123,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a83,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,124,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a84,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,125,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a85,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,126,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a86,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,127,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a87,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,128,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a88,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,129,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a89,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,130,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a90,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,131,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a91,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,132,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a92,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,133,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a93,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,134,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a94,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,135,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a95,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,136,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a96,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,137,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a97,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,138,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a98,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,139,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a99,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,140,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a100,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,141,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a101,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,142,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a102,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,143,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a103,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,144,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
