Wr Wrk Inst,Institution,Usage Source,Number of Copies,Number of Pages,Comment,Line,Error Reason
,CORNELL UNIVERSITY,,10,14,,52,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,53,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,54,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,55,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,56,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,57,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,58,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,59,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,60,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,61,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,62,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,63,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,64,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,65,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,66,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,67,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,68,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,69,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,70,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,71,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,72,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,73,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,74,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,75,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,76,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,77,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,78,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,79,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,80,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,81,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,82,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,83,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,84,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,85,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,86,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,87,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,88,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,89,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,90,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,91,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,92,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,93,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,94,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,95,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,96,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,97,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,98,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,99,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,100,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,101,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,102,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,103,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,104,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,105,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,106,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,107,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,108,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,109,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,110,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,111,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,112,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,113,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,114,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,115,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,116,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,117,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,118,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,119,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,120,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,121,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,122,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,123,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,124,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,125,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,126,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,127,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,128,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,129,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,130,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,131,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,132,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,133,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,134,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,135,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,136,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,137,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,138,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,139,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,140,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,141,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,142,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,143,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,144,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,145,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,146,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,147,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,148,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,149,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,150,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,151,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,152,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,153,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,154,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,155,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,156,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,157,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,158,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,159,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,160,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,161,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,162,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,163,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,164,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,165,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,166,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,167,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,168,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,169,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,170,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,171,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,172,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,173,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,174,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,175,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,176,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,177,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,178,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,179,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,180,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,181,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,182,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,183,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,184,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,185,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,186,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,187,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,188,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,189,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,190,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,191,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,192,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,193,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,194,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,195,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,196,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,197,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
