Detail ID,Title,Article,Standard Number,Wr Wrk Inst,RH Acct Number,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author
10000040,Metropolis--and beyond : selected essays,,12345XX-92845,123456789,1000030340,,2/9/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000041,Computers and the information society,,12345XX-28702,123456789,1000024955,,2/10/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000052,The New York times (1857- ),Digest of Civil Rights Bill's Provisions,12345XX-168891,123456789,1000005335,,2/21/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000056,The New York times (1857- ),I.O.C. Adopts Policy for Deciding Whether an Athlete Can Compete as a Woman,12345XX-169332,123456789,1000014273,,2/25/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000057,The New York times (1857- ),Registration in the South,12345XX-169349,123456789,1000024950,,2/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000059,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194003,123456789,1000011806,,2/28/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000060,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194004,123456789,1000006470,,3/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000062,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194029,123456789,1000001950,,3/3/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000065,AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page 2A-20--Toward a Model for Effectiveness: What Alberta Occupational Health Nurses Think - A Canadian study resulted in this evolving model that makes explicit the foundations1088.89 functions1088.89 relationships1088.89 and goals for effectiveness in practice.,12345XX-1582,123456789,1000027149,,3/6/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000066,AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page2: Image: Rogers' Conceptual Model,12345XX-1603,123456789,1000025066,,3/7/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000070,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4882,123456789,1000013220,,3/11/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000073,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,,12345XX-4887,123456789,1000018175,,3/14/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000074,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4891,123456789,1000001397,,3/15/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000082,American journal of nursing (1900- ),Malignant Hyperthermia,12345XX-7131,123456789,1000008348,,3/23/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000083,American journal of physiology: regulatory1088.89 integrative and comparative physiology (1977- ),Excerpt from American Journal of Physiology: Regulatory Integrative and Comparative Physiology,12345XX-7232,123456789,1000001965,,3/24/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000085,An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7889,123456789,1000011948,,3/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000087,An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7916,123456789,1000027204,,3/28/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000088,An Anthology of modern Persian poetry,The Wind Will Take Us,12345XX-7919,123456789,1000001964,,3/29/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000089,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8545,123456789,1000024284,,3/30/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000097,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8563,123456789,1000013019,,4/7/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000098,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8566,123456789,1000003567,,4/8/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000099,Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9614,123456789,1000010031,,4/9/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000100,Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9616,123456789,1000012079,,4/10/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000101,Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9621,123456789,1000000175,,4/11/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000102,Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9623,123456789,1000002836,,4/12/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000103,Archives of internal medicine (1960- ),,12345XX-11345,123456789,1000032696,,4/13/2013,,23.25,Univ,,2015,
10000104,Archives of internal medicine (1960- ),,12345XX-11359,123456789,1000004078,,4/14/2013,,23.25,Univ,,2015,
10000105,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13802,123456789,1000001733,,4/15/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000106,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13805,123456789,1000033913,,4/16/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000107,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13819,123456789,1000006769,,4/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000118,Business week (1929- ),How O'Neil Got Alcoa Shinning,12345XX-19432,123456789,1000012565,,4/28/2013,,23.25,Univ,,2015,
10000120,Cell (1974- ),Excerpts from Cell,12345XX-21469,123456789,1000009967,,4/30/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000121,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23227,123456789,1000015679,,5/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000122,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23233,123456789,1000027372,,5/2/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000123,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23247,123456789,1000025496,,5/3/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000124,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23253,123456789,1000028883,,5/4/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000125,Clinical Hematology : principles1088.89 procedures1088.89 correlations,,12345XX-25205,123456789,1000034123,,5/5/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000126,Clinical Hematology : principles1088.89 procedures1088.89 correlations,,12345XX-25215,123456789,1000027277,,5/6/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000127,Clinical hematology and fundamentals of hemostasis,,12345XX-25222,123456789,1000007153,,5/7/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000142,Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27369,123456789,1000003302,,5/22/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000143,Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27372,123456789,1000017242,,5/23/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000144,Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27373,123456789,1000004350,,5/24/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000145,Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27374,123456789,1000015768,,5/25/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000146,Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27375,123456789,1000018766,,5/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000147,Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27376,123456789,1000000253,,5/27/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000160,Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,,12345XX-36046,123456789,1000012248,,6/9/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000161,Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,COVER PICTURE,12345XX-36052,123456789,1000006766,,6/10/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000162,Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,,12345XX-36053,123456789,1000016278,,6/11/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000163,Designing for economical production,,12345XX-37518,123456789,1000002558,,6/12/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000164,Designing for economical production,,12345XX-37519,123456789,1000003321,,6/13/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000165,Discover (1980- ),Excerpts from Discover: Science Technology and the Future,12345XX-39235,123456789,1000025063,,6/14/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000166,Discover (1980- ),Excerpts from Discover: Science Technology and the Future,12345XX-39302,123456789,1000004111,,6/15/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000167,Eating in the underworld,Diary [Underworld],12345XX-41504,123456789,1000015894,,6/16/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000168,Eating in the underworld,Diary [Underworld],12345XX-41505,123456789,1000002183,,6/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000169,Elegy for the departure and other poems,Episode in a Library,12345XX-43602,123456789,1000016277,,6/18/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000170,Elegy for the departure and other poems,Episode in a Library,12345XX-43603,123456789,1000016471,,6/19/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000171,Emergency (1978-1998),Who Heals the Healers?,12345XX-43886,123456789,1000011155,,6/20/2013,,23.25,Univ,,2015,
10000172,Emergency (1978-1998),Who Heals the Healers?,12345XX-43892,123456789,1000013237,,6/21/2013,,23.25,Univ,,2015,
10000173,Emergent curriculum,,12345XX-43952,123456789,1000032265,,6/22/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000174,Emergent curriculum,,12345XX-43968,123456789,1000013301,,6/23/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000175,English grammar in use : a self-study reference and practice book for intermediate students of English : with answers,Reference & Practice for Intermediate Students of English,12345XX-44743,123456789,1000009413,,6/24/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000176,English grammar in use : a self-study reference and practice book for intermediate students of English : with answers,Reference & Practice for Intermediate Students of English,12345XX-44746,123456789,1000008339,,6/25/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000177,Essential pathology,ESSENTIAL PATHOLOGY1088.89 2ND ED.,12345XX-46172,123456789,1000007417,,6/26/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000178,Essential pathology,FIGURE 2: THE CAPILLARY SYSTEM AND MECHANISMS OF EDEMA FORMATION.,12345XX-46175,123456789,1000016973,,6/27/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000179,Essential pathology,ESSENTIAL PATHOLOGY1088.89 2ND ED.,12345XX-46178,123456789,1000023784,,6/28/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000180,Essential pathology,FIGURE 2: THE CAPILLARY SYSTEM AND MECHANISMS OF EDEMA FORMATION.,12345XX-46181,123456789,1000029002,,6/29/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000181,Exceptional parent (1971- ),My Heart Swells with Love,12345XX-48167,123456789,1000025820,,6/30/2013,,23.25,Univ,,2015,
10000182,Exceptional parent (1971- ),My Heart Swells with Love,12345XX-48173,123456789,1000014750,,7/1/2013,,23.25,Univ,,2015,
10000223,Horse color,,12345XX-66371,123456789,1000003432,,8/11/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000224,Horse color,,12345XX-66377,123456789,1000004039,,8/12/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000225,How people learn : guidelines for Bible teaching,,12345XX-66780,123456789,1000008402,,8/13/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000226,How people learn : guidelines for Bible teaching,,12345XX-66783,123456789,1000032469,,8/14/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000227,How to differentiate instruction in mixed-ability classrooms,,12345XX-66880,123456789,1000007121,,8/15/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000228,How to differentiate instruction in mixed-ability classrooms,,12345XX-66881,123456789,1000011412,,8/16/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000229,How to speak dog : mastering the art of dog-human communication,Mastering the art of dog-human communication,12345XX-67071,123456789,1000031769,,8/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000232,In search of excellence : lessons from America's best-run companies,In Search of Excellence: Lessons From America's Best-Run Companies,12345XX-69509,123456789,1000006256,,8/20/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000233,Integrated treatment for dual disorders : a guide to effective practice,Integrated Treatment for Dual Disorders: A Guide to Effective Practice,12345XX-71071,123456789,1000009919,,8/21/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000234,Integrated treatment for dual disorders : a guide to effective practice,Integrated Treatment for Dual Disorders: A Guide to Effective Practice,12345XX-71215,123456789,1000011911,,8/22/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000235,International journal of sports medicine (1980- ),Excerpt from International Journal of Sports Medicine,12345XX-72552,123456789,1000024965,,8/23/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000236,International journal of sports medicine (1980- ),Excerpt from International Journal of Sports Medicine,12345XX-72554,123456789,1000008844,,8/24/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000237,International journal of sports medicine (1980- ),Excerpt from International Journal of Sports Medicine,12345XX-72559,123456789,1000009973,,8/25/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000238,International journal of sports medicine (1980- ),Excerpt from International Journal of Sports Medicine,12345XX-72561,123456789,1000015002,,8/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000239,Invitation to biology,The Digestive System,12345XX-74163,123456789,1000000087,,8/27/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000240,Invitation to biology,The Digestive System,12345XX-74169,123456789,1000032892,,8/28/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000241,Joint structure and function : a comprehensive analysis,DIAGRAM (INFRAPATELLAR FAT PAD SYNDROME),12345XX-75903,123456789,1000027075,,8/29/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000242,Joint structure and function : a comprehensive analysis,JOINT STRUCTURE & FUNCTION 1088.89 (3RD. ED.),12345XX-75909,123456789,1000015313,,8/30/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000243,Joint structure and function : a comprehensive analysis,DIAGRAM (INFRAPATELLAR FAT PAD SYNDROME),12345XX-75918,123456789,1000023244,,8/31/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000244,Joint structure and function : a comprehensive analysis,JOINT STRUCTURE & FUNCTION 1088.89 (3RD. ED.),12345XX-75924,123456789,1000000842,,9/1/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000245,Journal of colonialism & colonial history,Remaking Her Family for the Judges: Hindu Widows and Property Rights in the Colonial Courts of North India1088.89 1875-1911,12345XX-77252,123456789,1000014969,,9/2/2013,,23.25,Univ,,2015,
10000246,Journal of colonialism & colonial history,Remaking Her Family for the Judges: Hindu Widows and Property Rights in the Colonial Courts of North India1088.89 1875-1911,12345XX-77253,123456789,1000026696,,9/3/2013,,23.25,Univ,,2015,
10000247,Journal of medical education (1951-1989),The case against teaching.,12345XX-79585,123456789,1000000772,,9/4/2013,,23.25,Univ,,2015,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10000248,Journal of medical education (1951-1989),The case against teaching.,12345XX-79587,123456789,1000001271,,9/5/2013,,23.25,Univ,,2015,
10000249,Journal of medical education (1951-1989),The case against teaching.,12345XX-79598,123456789,1000024967,,9/6/2013,,23.25,Univ,,2015,
10000250,Journal of medical education (1951-1989),The case against teaching.,12345XX-79600,123456789,1000027610,,9/7/2013,,23.25,Univ,,2015,
10000251,Journal of women's health,Magnesium Suppl. Alleviates?..,12345XX-82340,123456789,1000013048,,9/8/2013,,23.25,Univ,,2015,
10000252,Journal of women's health,Magnesium Suppl. Alleviates?..,12345XX-82341,123456789,1000001360,,9/9/2013,,23.25,Univ,,2015,
10000253,Laboratory outlines in zoology,,12345XX-83861,123456789,1000020117,,9/10/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000254,Laboratory outlines in zoology,,12345XX-83871,123456789,1000011153,,9/11/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000255,Making face1088.89 making soul = Haciendo caras : creative and critical perspectives by feminists of color,In Magazines (I Found Specimens of the Beautiful),12345XX-88467,123456789,1000008996,,9/12/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000256,Making face1088.89 making soul = Haciendo caras : creative and critical perspectives by feminists of color,In Magazines (I Found Specimens of the Beautiful),12345XX-88483,123456789,1000023980,,9/13/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000257,Man and nature in the Renaissance,Mystery of the Cosmos,12345XX-88943,123456789,1000029995,,9/14/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000258,Man and nature in the Renaissance,Mystery of the Cosmos,12345XX-88947,123456789,1000004868,,9/15/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000259,Medicine and science in sports and exercise (1980- ),Excerpt from Medicine and Science in Sports and Exercise,12345XX-91501,123456789,1000020980,,9/16/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000260,Medicine and science in sports and exercise (1980- ),Excerpt from Medicine and Science in Sports and Exercise,12345XX-91515,123456789,1000024968,,9/17/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000293,Pocket atlas of sectional anatomy : computed tomography and magnetic resonance imaging,,12345XX-114068,123456789,1000027233,,10/20/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000294,Pocket atlas of sectional anatomy : computed tomography and magnetic resonance imaging,,12345XX-114086,123456789,1000031363,,10/21/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000295,Prehistory of the eastern Arctic,Prehistory of the Eastern Arctic,12345XX-116477,123456789,1000021099,,10/22/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000296,Prehistory of the eastern Arctic,,12345XX-116479,123456789,1000006765,,10/23/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000297,Prehistory of the eastern Arctic,Prehistory of the Eastern Arctic,12345XX-116481,123456789,1000000112,,10/24/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000298,Prehistory of the eastern Arctic,,12345XX-116483,123456789,1000029662,,10/25/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000302,Professional safety (1974- ),Guidelines for Contractor Safety,12345XX-117720,123456789,1000023230,,10/29/2013,,23.25,Univ,,2015,
10000303,Psychology today (1967- ),Psychology Today1088.89 Jan/Feb 2006,12345XX-118921,123456789,1000007120,,10/30/2013,,23.25,Univ,,2015,
10000304,Psychology today (1967- ),Psychology Today1088.89 Jan/Feb 2006,12345XX-118982,123456789,1000021532,,10/31/2013,,23.25,Univ,,2015,
10000305,Rockaby and other short pieces,,12345XX-126992,123456789,1000005955,,11/1/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000306,Rockaby and other short pieces,,12345XX-126996,123456789,1000024972,,11/2/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000307,Selected poems,who are you1088.89 little i,12345XX-130484,123456789,1000024973,,11/3/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000308,Selected poems,may my heart always be open,12345XX-130485,123456789,1000000513,,11/4/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000309,Selected poems,who are you1088.89 little i,12345XX-130506,123456789,1000001270,,11/5/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000310,Selected poems,may my heart always be open,12345XX-130507,123456789,1000005966,,11/6/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000311,Skeletal muscle structure1088.89 function1088.89 and plasticity : the physiological basis of rehabilitation,Excerpts from Skeletal Muscle Structure Function and Plasticity,12345XX-133693,123456789,1000005964,,11/7/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000312,Skeletal muscle structure1088.89 function1088.89 and plasticity : the physiological basis of rehabilitation,Excerpts from Skeletal Muscle Structure Function and Plasticity,12345XX-133695,123456789,1000023072,,11/8/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000313,Smoke and mirrors : short fictions and illusions,Nicholas Was...,12345XX-134283,123456789,1000006021,,11/9/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000314,Smoke and mirrors : short fictions and illusions,Nicholas Was...,12345XX-134293,123456789,1000028393,,11/10/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000315,Social work (1956- ),Lab Competency Skills,12345XX-135329,123456789,1000014281,,11/11/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000316,Social work (1956- ),Lab Competency Skills,12345XX-135331,123456789,1000014468,,11/12/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000317,Social work (1956- ),Lab Competency Skills,12345XX-135334,123456789,1000010850,,11/13/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000318,Social work (1956- ),Lab Competency Skills,12345XX-135434,123456789,1000032567,,11/14/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000319,Social work (1956- ),Lab Competency Skills,12345XX-135436,123456789,1000032574,,11/15/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000320,Social work (1956- ),Lab Competency Skills,12345XX-135439,123456789,1000009849,,11/16/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000321,SPIE institutes for advanced optical technologies (1962- ),SPIE 1897,12345XX-137734,123456789,1000029852,,11/17/2013,,23.25,Univ,,2015,
10000322,SPIE institutes for advanced optical technologies (1962- ),8th European Congress of Radiology,12345XX-137735,123456789,1000009249,,11/18/2013,,23.25,Univ,,2015,
10000323,SPIE institutes for advanced optical technologies (1962- ),SPIE 1897,12345XX-137738,123456789,1000015788,,11/19/2013,,23.25,Univ,,2015,
