Detail ID,Title,Article,Standard Number,Wr Wrk Inst,RH Acct Number,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,,12,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,13,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,14,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,15,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,16,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,17,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,18,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,19,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,20,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,21,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,22,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,23,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,24,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,25,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,26,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,27,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,28,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,29,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,30,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,31,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,32,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,33,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,34,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,35,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,36,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,37,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,38,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,39,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,40,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,41,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,42,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,43,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,44,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,45,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,46,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,47,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,48,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,49,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,50,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,51,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,52,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,53,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,54,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,55,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,56,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,57,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
10000017,At-risk youth : a comprehensive response : for counselors1088.89 teachers1088.89 psychologists1088.89 and human service professionals,Ch.1 An Introduction to At-Risk Issues,12345XX-12976,123456789,1000011010,,1/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,58,Market Period From: Field is required and cannot be null or empty
10000022,The sacred tree,The story of the sacred tree,12345XX-177984,123456789,1000003532,,1/22/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,59,Market Period From: Field is required and cannot be null or empty
10000025,Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123115,123456789,1000021130,,1/25/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,60,Market Period From: Field is required and cannot be null or empty
10000026,Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123123,123456789,1000024948,,1/26/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,61,Market Period From: Field is required and cannot be null or empty
10000028,Reclaiming youth at risk : our hope for the future,Mending the Broken Circle,12345XX-123116,123456789,1000018612,,1/28/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,62,Market Period From: Field is required and cannot be null or empty
10000032,AACE newsletter,,12345XX-1297,123456789,1000032331,,2/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,63,Market Period From: Field is required and cannot be null or empty
10000037,Huronia business times,,12345XX-67986,123456789,1000025974,,2/6/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,64,Market Period From: Field is required and cannot be null or empty
10000038,Huronia business times,,12345XX-67987,123456789,1000024935,,2/7/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,65,Market Period From: Field is required and cannot be null or empty
10000040,Metropolis--and beyond : selected essays,,12345XX-92845,123456789,1000030340,,2/9/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,66,Market Period From: Field is required and cannot be null or empty
10000041,Computers and the information society,,12345XX-28702,123456789,1000024955,,2/10/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,67,Market Period From: Field is required and cannot be null or empty
10000052,The New York times (1857- ),Digest of Civil Rights Bill's Provisions,12345XX-168891,123456789,1000005335,,2/21/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,68,Market Period From: Field is required and cannot be null or empty
10000056,The New York times (1857- ),I.O.C. Adopts Policy for Deciding Whether an Athlete Can Compete as a Woman,12345XX-169332,123456789,1000014273,,2/25/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,69,Market Period From: Field is required and cannot be null or empty
10000057,The New York times (1857- ),Registration in the South,12345XX-169349,123456789,1000024950,,2/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,70,Market Period From: Field is required and cannot be null or empty
10000059,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194003,123456789,1000011806,,2/28/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,71,Market Period From: Field is required and cannot be null or empty
10000060,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194004,123456789,1000006470,,3/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,72,Market Period From: Field is required and cannot be null or empty
10000062,Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194029,123456789,1000001950,,3/3/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,73,Market Period From: Field is required and cannot be null or empty
10000065,AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page 2A-20--Toward a Model for Effectiveness: What Alberta Occupational Health Nurses Think - A Canadian study resulted in this evolving model that makes explicit the foundations1088.89 functions1088.89 relationships1088.89 and goals for effectiveness in practice.,12345XX-1582,123456789,1000027149,,3/6/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,74,Market Period From: Field is required and cannot be null or empty
10000066,AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page2: Image: Rogers' Conceptual Model,12345XX-1603,123456789,1000025066,,3/7/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,75,Market Period From: Field is required and cannot be null or empty
10000070,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4882,123456789,1000013220,,3/11/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,76,Market Period From: Field is required and cannot be null or empty
10000073,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,,12345XX-4887,123456789,1000018175,,3/14/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,77,Market Period From: Field is required and cannot be null or empty
10000074,Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4891,123456789,1000001397,,3/15/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,78,Market Period From: Field is required and cannot be null or empty
10000082,American journal of nursing (1900- ),Malignant Hyperthermia,12345XX-7131,123456789,1000008348,,3/23/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,79,Market Period From: Field is required and cannot be null or empty
10000083,American journal of physiology: regulatory1088.89 integrative and comparative physiology (1977- ),Excerpt from American Journal of Physiology: Regulatory Integrative and Comparative Physiology,12345XX-7232,123456789,1000001965,,3/24/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,80,Market Period From: Field is required and cannot be null or empty
10000085,An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7889,123456789,1000011948,,3/26/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,81,Market Period From: Field is required and cannot be null or empty
10000087,An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7916,123456789,1000027204,,3/28/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,82,Market Period From: Field is required and cannot be null or empty
10000088,An Anthology of modern Persian poetry,The Wind Will Take Us,12345XX-7919,123456789,1000001964,,3/29/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,83,Market Period From: Field is required and cannot be null or empty
10000089,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8545,123456789,1000024284,,3/30/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,84,Market Period From: Field is required and cannot be null or empty
10000097,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8563,123456789,1000013019,,4/7/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,85,Market Period From: Field is required and cannot be null or empty
10000098,Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8566,123456789,1000003567,,4/8/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,86,Market Period From: Field is required and cannot be null or empty
10000099,Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9614,123456789,1000010031,,4/9/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,87,Market Period From: Field is required and cannot be null or empty
10000100,Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9616,123456789,1000012079,,4/10/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,88,Market Period From: Field is required and cannot be null or empty
10000101,Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9621,123456789,1000000175,,4/11/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,89,Market Period From: Field is required and cannot be null or empty
10000102,Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9623,123456789,1000002836,,4/12/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,90,Market Period From: Field is required and cannot be null or empty
10000103,Archives of internal medicine (1960- ),,12345XX-11345,123456789,1000032696,,4/13/2013,,23.25,Univ,,2015,,91,Market Period From: Field is required and cannot be null or empty
10000104,Archives of internal medicine (1960- ),,12345XX-11359,123456789,1000004078,,4/14/2013,,23.25,Univ,,2015,,92,Market Period From: Field is required and cannot be null or empty
10000105,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13802,123456789,1000001733,,4/15/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,93,Market Period From: Field is required and cannot be null or empty
10000106,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13805,123456789,1000033913,,4/16/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,94,Market Period From: Field is required and cannot be null or empty
10000107,Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13819,123456789,1000006769,,4/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,95,Market Period From: Field is required and cannot be null or empty
10000118,Business week (1929- ),How O'Neil Got Alcoa Shinning,12345XX-19432,123456789,1000012565,,4/28/2013,,23.25,Univ,,2015,,96,Market Period From: Field is required and cannot be null or empty
10000120,Cell (1974- ),Excerpts from Cell,12345XX-21469,123456789,1000009967,,4/30/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,97,Market Period From: Field is required and cannot be null or empty
10000121,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23227,123456789,1000015679,,5/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,98,Market Period From: Field is required and cannot be null or empty
10000122,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23233,123456789,1000027372,,5/2/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,99,Market Period From: Field is required and cannot be null or empty
10000123,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23247,123456789,1000025496,,5/3/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,100,Market Period From: Field is required and cannot be null or empty
10000124,China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23253,123456789,1000028883,,5/4/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,101,Market Period From: Field is required and cannot be null or empty
10000125,Clinical Hematology : principles1088.89 procedures1088.89 correlations,,12345XX-25205,123456789,1000034123,,5/5/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,102,Market Period From: Field is required and cannot be null or empty
