Coverage Period,License Type,Number of Students,Reported Grade,Wr Wrk Inst,Reported Work Title,Reported Standard Number or Image ID Number,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Media Type,Comment
2021-2022,CURR_REPUB_K12,25,6,109060602,string_2000_characters_long_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,string_2001_characters_long______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,string_1000_characters_long_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,string_1001_characters_long______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,string_1000_characters_long_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,string_1001_characters_long______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,string_1000_characters_long_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,string_1001_characters_long______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,Barefoot Books,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,string_1000_characters_long_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,string_1001_characters_long______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,2021-02-03,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,string_100_characters_long__________________________________________________________________________,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,string_101_characters_long___________________________________________________________________________,TEXT,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,1234567890abcdef,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,1234567890abcdef0,some comment
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,string_101_characters_long___________________________________________________________________________
2021-2022,CURR_REPUB_K12,25,6,109060602,Steam engines,978-0-7614-1880-1,The Bronze Statue,Hugh Lupton,Barefoot Books,2021-02-03,TEXT,string_100_characters_long__________________________________________________________________________
