Coverage Period,License Type,Reported Grade,Wr Wrk Inst,Reported Work Title,Reported Standard Number or Image ID Number,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Media Type,Comment,Line,Error Reason
,,,,,,,,,,,,12,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,13,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,14,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,15,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,16,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,17,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,18,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,19,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,20,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,21,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,22,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,23,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,24,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,25,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,26,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,27,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,28,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,29,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,30,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,31,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,32,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,33,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,34,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,35,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,36,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,37,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,38,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,39,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,40,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,41,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,42,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,43,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,44,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,45,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,46,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,47,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,48,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,49,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,50,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,51,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,52,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,53,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,54,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,55,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,56,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,57,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,58,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,59,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,60,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,61,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,62,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,63,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,64,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,65,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,66,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
