Title,Article,Standard Number,Wr Wrk Inst,RH Account #,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Comment,Line,Error Reason
AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page2: Image: Rogers' Conceptual Model,12345XX-1603,123456789,1000025066,,3/7/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,75,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4882,123456789,1000013220,,3/11/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,76,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,,12345XX-4887,123456789,1000018175,,3/14/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,77,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Albucasis on surgery and instruments : a definitive edition of the Arabic text with English translation and commentary,HSC2220,12345XX-4891,123456789,1000001397,,3/15/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,78,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
American journal of nursing (1900- ),Malignant Hyperthermia,12345XX-7131,123456789,1000008348,,3/23/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,79,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
American journal of physiology: regulatory1088.89 integrative and comparative physiology (1977- ),Excerpt from American Journal of Physiology: Regulatory Integrative and Comparative Physiology,12345XX-7232,123456789,1000001965,,3/24/201,,23.25,,,2015,,,80,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7889,123456789,1000011948,,3/26/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,81,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
An Anthology of modern Persian poetry,I'll Be Greeting the Sun Again,12345XX-7916,123456789,1000027204,,3/28/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,82,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
An Anthology of modern Persian poetry,The Wind Will Take Us,12345XX-7919,123456789,1000001964,,3/29/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,83,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8545,123456789,1000024284,,3/30/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,84,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8563,123456789,1000013019,,4/7/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,85,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Anarchy1088.89 state1088.89 and utopia,'The Experience Machine',12345XX-8566,123456789,1000003567,,4/8/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,86,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9614,123456789,1000010031,,4/9/201,,23.25,,,2015,,,87,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9616,123456789,1000012079,,4/10/201,,23.25,,,2015,,,88,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Annual review of physiology,Excerpts from Annual Review of Physiology,12345XX-9621,123456789,1000000175,,4/11/201,,23.25,,,2015,,,89,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Annual review of physiology,Excerpt from Annual Review of Physiology,12345XX-9623,123456789,1000002836,,4/12/201,,23.25,,,2015,,,90,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Archives of internal medicine (1960- ),,12345XX-11345,123456789,1000032696,,4/13/201,,23.25,Univ,,2015,,,91,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Archives of internal medicine (1960- ),,12345XX-11359,123456789,1000004078,,4/14/201,,23.25,Univ,,2015,,,92,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13802,123456789,1000001733,,4/15/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,93,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13805,123456789,1000033913,,4/16/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,94,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Basic physiology and anatomy,page2-56--Figure 11--Synapse Between Nerve and Target Organ,12345XX-13819,123456789,1000006769,,4/17/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,95,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Business week (1929- ),How O'Neil Got Alcoa Shinning,12345XX-19432,123456789,1000012565,,4/28/201,,23.25,Univ,,2015,,,96,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Cell (1974- ),Excerpts from Cell,12345XX-21469,123456789,1000009967,,4/30/201,,23.25,,,2015,,,97,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23227,123456789,1000015679,,5/1/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,98,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23233,123456789,1000027372,,5/2/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,99,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23247,123456789,1000025496,,5/3/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,100,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
China's Cultural Revolution1088.89 1966-1969 : not a dinner party,[CUT FROM ULTRAPRINT] Seal the Coffin and Pass the Final Verdict,12345XX-23253,123456789,1000028883,,5/4/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,101,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Clinical Hematology : principles1088.89 procedures1088.89 correlations,,12345XX-25205,123456789,1000034123,,5/5/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,102,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Clinical Hematology : principles1088.89 procedures1088.89 correlations,,12345XX-25215,123456789,1000027277,,5/6/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,103,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Clinical hematology and fundamentals of hemostasis,,12345XX-25222,123456789,1000007153,,5/7/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,104,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27369,123456789,1000003302,,5/22/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,105,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27372,123456789,1000017242,,5/23/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,106,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27373,123456789,1000004350,,5/24/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,107,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27374,123456789,1000015768,,5/25/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,108,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,[CUT FROM ULTRAPRINT] Excerpt from Commentary on the Torah,12345XX-27375,123456789,1000018766,,5/26/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,109,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Commentary on the Torah. Exodus,Ramban on the Leviticus 19:1-2,12345XX-27376,123456789,1000000253,,5/27/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,110,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,,12345XX-36046,123456789,1000012248,,6/9/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,111,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,COVER PICTURE,12345XX-36052,123456789,1000006766,,6/10/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,112,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Dancing at the Louvre : Faith Ringgold's French collection and other story quilts,,12345XX-36053,123456789,1000016278,,6/11/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,113,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Designing for economical production,,12345XX-37518,123456789,1000002558,,6/12/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,114,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Designing for economical production,,12345XX-37519,123456789,1000003321,,6/13/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,115,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
